"","Mkt_rf","Momentum","Mkt_rf_managed","Momentum_managed"
"Geometric Return",6.7572299488093,3.07421274933792,7.75827335483505,8.58387519873014
"Volatility",5.31474738228029,3.47455219249664,5.32519966928151,3.47638178183203
"Sharpe Ratio",0.366868741098654,0.255305233495111,0.42039139610284,0.712492943352744
"Maximum Drawdowm",-84.6900724680184,-75.107456342962,-60.205954709094,-39.9571975970694
