location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,daily,vw_cap,3,1926-05-11,-0.00134223632870722
usa,short_term_reversal,daily,vw_cap,3,1926-05-12,-0.00340542104836985
usa,short_term_reversal,daily,vw_cap,3,1926-05-13,0.00111919157164634
usa,short_term_reversal,daily,vw_cap,3,1926-05-14,-0.0017798701186527
usa,short_term_reversal,daily,vw_cap,3,1926-05-15,-0.0066294682339058
usa,short_term_reversal,daily,vw_cap,3,1926-05-17,0.000554435142001313
usa,short_term_reversal,daily,vw_cap,3,1926-05-18,-0.002894783655258
usa,short_term_reversal,daily,vw_cap,3,1926-05-19,-0.00037790272086325
usa,short_term_reversal,daily,vw_cap,3,1926-05-20,0.000557658517520866
usa,short_term_reversal,daily,vw_cap,3,1926-05-21,0.0021652126310314
usa,short_term_reversal,daily,vw_cap,3,1926-05-22,0.00203790152825345
usa,short_term_reversal,daily,vw_cap,3,1926-05-24,-0.00265851002043463
usa,short_term_reversal,daily,vw_cap,3,1926-05-25,0.000674446054118825
usa,short_term_reversal,daily,vw_cap,3,1926-05-26,-0.00152549683818485
usa,short_term_reversal,daily,vw_cap,3,1926-05-27,0.00166410035248319
usa,short_term_reversal,daily,vw_cap,3,1926-05-28,0.00374524161959349
usa,short_term_reversal,daily,vw_cap,4,1926-06-01,0.00341531700958318
usa,short_term_reversal,daily,vw_cap,4,1926-06-02,0.00296663555725051
usa,short_term_reversal,daily,vw_cap,4,1926-06-03,0.00485522449153528
usa,short_term_reversal,daily,vw_cap,4,1926-06-04,0.000950933843855794
usa,short_term_reversal,daily,vw_cap,4,1926-06-05,0.00111222712821762
usa,short_term_reversal,daily,vw_cap,4,1926-06-07,0.000251178896341695
usa,short_term_reversal,daily,vw_cap,4,1926-06-08,0.000462481756146259
usa,short_term_reversal,daily,vw_cap,4,1926-06-09,0.00323310339225022
usa,short_term_reversal,daily,vw_cap,4,1926-06-10,0.00268406854704097
usa,short_term_reversal,daily,vw_cap,4,1926-06-11,0.000763705448481568
usa,short_term_reversal,daily,vw_cap,4,1926-06-12,0.00227610364752818
usa,short_term_reversal,daily,vw_cap,4,1926-06-14,0.00179055558048194
usa,short_term_reversal,daily,vw_cap,4,1926-06-15,0.000126703340859017
usa,short_term_reversal,daily,vw_cap,4,1926-06-16,0.00141672540364824
usa,short_term_reversal,daily,vw_cap,4,1926-06-17,0.00255457967945639
usa,short_term_reversal,daily,vw_cap,4,1926-06-18,-0.00178401222150717
usa,short_term_reversal,daily,vw_cap,4,1926-06-19,-0.00166017978843185
usa,short_term_reversal,daily,vw_cap,4,1926-06-21,0.00176286244494741
usa,short_term_reversal,daily,vw_cap,4,1926-06-22,-0.00293935791613712
usa,short_term_reversal,daily,vw_cap,4,1926-06-23,-0.00196493401797458
usa,short_term_reversal,daily,vw_cap,4,1926-06-24,-0.000793447831699776
usa,short_term_reversal,daily,vw_cap,4,1926-06-25,-0.00158363680993111
usa,short_term_reversal,daily,vw_cap,4,1926-06-26,-0.00024097774461558
usa,short_term_reversal,daily,vw_cap,4,1926-06-28,-0.000600811058871668
usa,short_term_reversal,daily,vw_cap,4,1926-06-29,0.00112638939124725
usa,short_term_reversal,daily,vw_cap,4,1926-06-30,-0.0000481141174594352
usa,short_term_reversal,daily,vw_cap,4,1926-07-01,0.00116928045967623
usa,short_term_reversal,daily,vw_cap,4,1926-07-02,0.000565427751477553
usa,short_term_reversal,daily,vw_cap,4,1926-07-06,0.0012972097577934
usa,short_term_reversal,daily,vw_cap,4,1926-07-07,0.000434061386486207
usa,short_term_reversal,daily,vw_cap,4,1926-07-08,-0.0010395470950183
usa,short_term_reversal,daily,vw_cap,4,1926-07-09,0.000734121169143882
usa,short_term_reversal,daily,vw_cap,4,1926-07-10,-0.00195381639868388
usa,short_term_reversal,daily,vw_cap,4,1926-07-12,0.00123952427248084
usa,short_term_reversal,daily,vw_cap,4,1926-07-13,-0.00142221577253159
usa,short_term_reversal,daily,vw_cap,4,1926-07-14,-0.000528866351218277
usa,short_term_reversal,daily,vw_cap,4,1926-07-15,0.00156062241374823
usa,short_term_reversal,daily,vw_cap,4,1926-07-16,-0.00152183486609663
usa,short_term_reversal,daily,vw_cap,4,1926-07-17,-0.00203459492240254
usa,short_term_reversal,daily,vw_cap,4,1926-07-19,-0.000809335124223285
usa,short_term_reversal,daily,vw_cap,4,1926-07-20,0.00716548935542505
usa,short_term_reversal,daily,vw_cap,4,1926-07-21,-0.00181196726506788
usa,short_term_reversal,daily,vw_cap,4,1926-07-22,0.00193946273047407
usa,short_term_reversal,daily,vw_cap,4,1926-07-23,0.000615876570892393
usa,short_term_reversal,daily,vw_cap,4,1926-07-24,0.0016463288624614
usa,short_term_reversal,daily,vw_cap,4,1926-07-26,-0.00116873177225399
usa,short_term_reversal,daily,vw_cap,4,1926-07-27,-0.000699967207906489
