location,name,freq,weighting,n_factors,date,ret
usa,seasonality,daily,vw_cap,1,1926-05-19,0.000358924454740625
usa,seasonality,daily,vw_cap,1,1926-05-20,0.00257729447589855
usa,seasonality,daily,vw_cap,1,1926-05-21,-0.00149104847998506
usa,seasonality,daily,vw_cap,1,1926-05-22,-0.00140527146196021
usa,seasonality,daily,vw_cap,1,1926-05-24,-0.000510457443702701
usa,seasonality,daily,vw_cap,1,1926-05-25,0.0000244618718326026
usa,seasonality,daily,vw_cap,1,1926-05-26,0.00216939805490013
usa,seasonality,daily,vw_cap,1,1926-05-27,0.000470238357758899
usa,seasonality,daily,vw_cap,1,1926-05-28,-0.000196440059278208
usa,seasonality,daily,vw_cap,1,1926-06-01,0.00301992339052992
usa,seasonality,daily,vw_cap,1,1926-06-02,-0.00396514948677344
usa,seasonality,daily,vw_cap,1,1926-06-03,-0.00239928880806836
usa,seasonality,daily,vw_cap,1,1926-06-04,0.00240840754340796
usa,seasonality,daily,vw_cap,1,1926-06-05,-0.00181828900086346
usa,seasonality,daily,vw_cap,1,1926-06-07,-0.00170756900883928
usa,seasonality,daily,vw_cap,1,1926-06-08,-0.000928119720848287
usa,seasonality,daily,vw_cap,1,1926-06-09,-0.00311578532548278
usa,seasonality,daily,vw_cap,1,1926-06-10,0.00116173608791954
usa,seasonality,daily,vw_cap,1,1926-06-11,-0.000473058770192321
usa,seasonality,daily,vw_cap,1,1926-06-12,-0.000599474023907273
usa,seasonality,daily,vw_cap,1,1926-06-14,-0.00410654442152501
usa,seasonality,daily,vw_cap,1,1926-06-15,0.00324119915588866
usa,seasonality,daily,vw_cap,1,1926-06-16,-0.00257780264427304
usa,seasonality,daily,vw_cap,1,1926-06-17,-0.00191034728584705
usa,seasonality,daily,vw_cap,1,1926-06-18,0.000322573172579968
usa,seasonality,daily,vw_cap,1,1926-06-19,0.00096350003797049
usa,seasonality,daily,vw_cap,1,1926-06-21,0.000738669232458686
usa,seasonality,daily,vw_cap,1,1926-06-22,0.00264960907089986
usa,seasonality,daily,vw_cap,1,1926-06-23,-0.000114490600871485
usa,seasonality,daily,vw_cap,1,1926-06-24,-0.000599886345878983
usa,seasonality,daily,vw_cap,1,1926-06-25,0.00276659323971506
usa,seasonality,daily,vw_cap,1,1926-06-26,0.00232537022268796
usa,seasonality,daily,vw_cap,1,1926-06-28,-0.00112772261145143
usa,seasonality,daily,vw_cap,1,1926-06-29,-0.0020514050652578
usa,seasonality,daily,vw_cap,1,1926-06-30,-0.00177642051409882
usa,seasonality,daily,vw_cap,1,1926-07-01,-0.00168631092496482
usa,seasonality,daily,vw_cap,1,1926-07-02,-0.000519725553780276
usa,seasonality,daily,vw_cap,1,1926-07-06,-0.00260632789035819
usa,seasonality,daily,vw_cap,1,1926-07-07,0.00464170840488738
usa,seasonality,daily,vw_cap,1,1926-07-08,-0.000992513035790859
usa,seasonality,daily,vw_cap,1,1926-07-09,0.00184350813425603
usa,seasonality,daily,vw_cap,1,1926-07-10,-0.0020402040108379
usa,seasonality,daily,vw_cap,1,1926-07-12,-0.000716114050368849
usa,seasonality,daily,vw_cap,1,1926-07-13,-0.00115607264153846
usa,seasonality,daily,vw_cap,1,1926-07-14,-0.00400634946923791
usa,seasonality,daily,vw_cap,1,1926-07-15,0.00179744503147582
usa,seasonality,daily,vw_cap,1,1926-07-16,0.00225880535687322
usa,seasonality,daily,vw_cap,1,1926-07-17,-0.00215813750035073
usa,seasonality,daily,vw_cap,1,1926-07-19,-0.000954364973040211
usa,seasonality,daily,vw_cap,1,1926-07-20,0.00871298428221561
usa,seasonality,daily,vw_cap,1,1926-07-21,-0.00174599645833073
usa,seasonality,daily,vw_cap,1,1926-07-22,0.00142711639731896
usa,seasonality,daily,vw_cap,1,1926-07-23,-0.000176364362602644
usa,seasonality,daily,vw_cap,1,1926-07-24,-0.000779627017859339
usa,seasonality,daily,vw_cap,1,1926-07-26,0.000382324085682454
usa,seasonality,daily,vw_cap,1,1926-07-27,0.0010040603878117
usa,seasonality,daily,vw_cap,1,1926-07-28,-0.00147907362207193
