location,name,freq,weighting,n_factors,date,ret
usa,value,daily,vw_cap,3,1927-03-29,0.00173978964937129
usa,value,daily,vw_cap,3,1927-03-30,-0.000844540122688644
usa,value,daily,vw_cap,3,1927-03-31,-0.00191713227093303
usa,value,daily,vw_cap,3,1927-04-01,0.00063654818886733
usa,value,daily,vw_cap,3,1927-04-02,0.000891581113931354
usa,value,daily,vw_cap,3,1927-04-04,-0.00426220203543554
usa,value,daily,vw_cap,3,1927-04-05,0.00019049493130482
usa,value,daily,vw_cap,3,1927-04-06,-0.00128876086835475
usa,value,daily,vw_cap,3,1927-04-07,-0.0010832994821459
usa,value,daily,vw_cap,3,1927-04-08,-0.0018074768989943
usa,value,daily,vw_cap,3,1927-04-09,-0.0000451987214233948
usa,value,daily,vw_cap,3,1927-04-11,-0.000106175366977233
usa,value,daily,vw_cap,3,1927-04-12,0.00179553951676094
usa,value,daily,vw_cap,3,1927-04-13,-0.000901714203840655
usa,value,daily,vw_cap,3,1927-04-14,-0.00101928778364568
usa,value,daily,vw_cap,3,1927-04-16,-0.000938837847051045
usa,value,daily,vw_cap,3,1927-04-18,-0.00168644311689255
usa,value,daily,vw_cap,3,1927-04-19,-0.00229947948330571
usa,value,daily,vw_cap,3,1927-04-20,-0.00102758580614896
usa,value,daily,vw_cap,3,1927-04-21,0.00101632345564766
usa,value,daily,vw_cap,3,1927-04-22,-0.00163653049170358
usa,value,daily,vw_cap,3,1927-04-23,-0.000560960617523418
usa,value,daily,vw_cap,3,1927-04-25,0.00305448965471769
usa,value,daily,vw_cap,3,1927-04-26,0.000534131438394229
usa,value,daily,vw_cap,3,1927-04-27,0.000811285577323915
usa,value,daily,vw_cap,3,1927-04-28,0.00347706545828137
usa,value,daily,vw_cap,3,1927-04-29,-0.00133315483918679
usa,value,daily,vw_cap,3,1927-04-30,0.00106939091858283
usa,value,daily,vw_cap,3,1927-05-02,-0.00178281601876837
usa,value,daily,vw_cap,3,1927-05-03,-0.00409374376966653
usa,value,daily,vw_cap,3,1927-05-04,-0.000941567131022591
usa,value,daily,vw_cap,3,1927-05-05,0.00441307310676519
usa,value,daily,vw_cap,3,1927-05-06,-0.00266815742345496
usa,value,daily,vw_cap,3,1927-05-07,-0.000224711158744886
usa,value,daily,vw_cap,3,1927-05-09,-0.00138212159007912
usa,value,daily,vw_cap,3,1927-05-10,0.000946745407501396
usa,value,daily,vw_cap,3,1927-05-11,0.00167333845143245
usa,value,daily,vw_cap,3,1927-05-12,0.00349802608795159
usa,value,daily,vw_cap,3,1927-05-13,-0.00349034393175649
usa,value,daily,vw_cap,3,1927-05-14,-0.00101184693537494
usa,value,daily,vw_cap,3,1927-05-16,-0.0000573432846682102
usa,value,daily,vw_cap,3,1927-05-17,-0.00182574552875093
usa,value,daily,vw_cap,3,1927-05-18,-0.00137759713015869
usa,value,daily,vw_cap,3,1927-05-19,0.00252490141021168
usa,value,daily,vw_cap,3,1927-05-20,-0.00365153672250259
usa,value,daily,vw_cap,3,1927-05-21,-0.000327857354176411
usa,value,daily,vw_cap,3,1927-05-23,-0.00175424748426842
usa,value,daily,vw_cap,3,1927-05-24,-0.000695673438645771
usa,value,daily,vw_cap,3,1927-05-25,-0.00120052694344343
usa,value,daily,vw_cap,3,1927-05-26,-0.00212242358386871
usa,value,daily,vw_cap,3,1927-05-27,-0.0013901090135866
usa,value,daily,vw_cap,3,1927-05-28,0.000844737655284754
usa,value,daily,vw_cap,3,1927-05-31,0.000257154365021049
usa,value,daily,vw_cap,3,1927-06-01,-0.00257407494481833
usa,value,daily,vw_cap,3,1927-06-02,-0.00172839663518434
usa,value,daily,vw_cap,3,1927-06-03,0.00301980576291698
usa,value,daily,vw_cap,3,1927-06-04,-0.000482242695942152
usa,value,daily,vw_cap,3,1927-06-06,-0.00133822450104456
usa,value,daily,vw_cap,3,1927-06-07,0.00151873265054305
usa,value,daily,vw_cap,3,1927-06-08,-0.00172786063437398
usa,value,daily,vw_cap,3,1927-06-09,0.000176783732690964
usa,value,daily,vw_cap,3,1927-06-10,0.00237502199798539
usa,value,daily,vw_cap,3,1927-06-11,0.00263945778392395
usa,value,daily,vw_cap,3,1927-06-14,0.00409878970986022
usa,value,daily,vw_cap,3,1927-06-15,-0.00385623878559279
usa,value,daily,vw_cap,3,1927-06-16,-0.00256636281550876
usa,value,daily,vw_cap,3,1927-06-17,-0.00468993257712249
usa,value,daily,vw_cap,3,1927-06-18,-0.00153749194481345
usa,value,daily,vw_cap,3,1927-06-20,-0.00100339290541324
usa,value,daily,vw_cap,3,1927-06-21,-0.00178568796946678
usa,value,daily,vw_cap,3,1927-06-22,0.0000102358228726111
usa,value,daily,vw_cap,3,1927-06-23,0.00143247243618459
usa,value,daily,vw_cap,3,1927-06-24,-0.000913450156433672
usa,value,daily,vw_cap,3,1927-06-25,-0.000460386077875031
usa,value,daily,vw_cap,3,1927-06-27,0.00484323368497168
usa,value,daily,vw_cap,3,1927-06-28,0.000935866624845281
usa,value,daily,vw_cap,3,1927-06-29,0.00311705205233177
usa,value,daily,vw_cap,3,1927-06-30,-0.00105457889368894
usa,value,daily,vw_cap,3,1927-07-01,-0.00179474942845713
usa,value,daily,vw_cap,3,1927-07-02,-0.00201939042568518
usa,value,daily,vw_cap,3,1927-07-05,-0.00182395603006219
usa,value,daily,vw_cap,3,1927-07-06,-0.00226090657393887
usa,value,daily,vw_cap,3,1927-07-07,-0.000107016252830618
usa,value,daily,vw_cap,3,1927-07-08,-0.000828236089795165
usa,value,daily,vw_cap,3,1927-07-09,0.00105030538573937
usa,value,daily,vw_cap,3,1927-07-11,0.00044654915252338
usa,value,daily,vw_cap,3,1927-07-12,-0.00161873865075148
usa,value,daily,vw_cap,3,1927-07-13,0.000916256223354046
usa,value,daily,vw_cap,3,1927-07-14,0.00206828509576204
usa,value,daily,vw_cap,3,1927-07-15,-0.000815299343585342
usa,value,daily,vw_cap,3,1927-07-16,-0.000436928724346532
usa,value,daily,vw_cap,3,1927-07-18,-0.00220048456034086
usa,value,daily,vw_cap,3,1927-07-19,0.00597968408146313
usa,value,daily,vw_cap,3,1927-07-20,0.00142546340132368
usa,value,daily,vw_cap,3,1927-07-21,0.00396398034899679
usa,value,daily,vw_cap,3,1927-07-22,0.00356695476886194
usa,value,daily,vw_cap,3,1927-07-23,0.0000335670073312348
usa,value,daily,vw_cap,3,1927-07-25,0.000360271903998499
usa,value,daily,vw_cap,3,1927-07-26,0.00037078039655627
usa,value,daily,vw_cap,3,1927-07-27,0.00431550280120776
usa,value,daily,vw_cap,3,1927-07-28,-0.00035010584279867
usa,value,daily,vw_cap,3,1927-07-29,-0.00118318672680633
usa,value,daily,vw_cap,3,1927-07-30,-0.00271158933180491
usa,value,daily,vw_cap,3,1927-08-01,-0.00198046189896905
usa,value,daily,vw_cap,3,1927-08-02,0.00289696228545118
usa,value,daily,vw_cap,3,1927-08-03,0.000371323461631659
usa,value,daily,vw_cap,3,1927-08-04,-0.00392334028671535
usa,value,daily,vw_cap,3,1927-08-05,0.000491819039256146
usa,value,daily,vw_cap,3,1927-08-06,0.00026706284732161
usa,value,daily,vw_cap,3,1927-08-08,0.00296235019514623
usa,value,daily,vw_cap,3,1927-08-09,-0.00272003123498733
usa,value,daily,vw_cap,3,1927-08-10,0.000680726526509718
usa,value,daily,vw_cap,3,1927-08-11,0.00309915158157255
usa,value,daily,vw_cap,3,1927-08-12,0.00636686911101258
usa,value,daily,vw_cap,3,1927-08-13,0.000701412632793046
usa,value,daily,vw_cap,3,1927-08-15,-0.00611754861959333
usa,value,daily,vw_cap,3,1927-08-16,-0.00319464012336158
usa,value,daily,vw_cap,3,1927-08-17,0.00101540068126191
usa,value,daily,vw_cap,3,1927-08-18,0.000599441591545503
usa,value,daily,vw_cap,3,1927-08-19,0.000335566676162676
usa,value,daily,vw_cap,3,1927-08-20,-0.000531699792207821
